Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,231,United States of America,5510,Production,449,Mushrooms and truffles,1972,1972,tonnes,115212,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,449,Mushrooms and truffles,1973,1973,tonnes,115213,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,449,Mushrooms and truffles,1974,1974,tonnes,126775,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,449,Mushrooms and truffles,1975,1975,tonnes,135660,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,449,Mushrooms and truffles,1976,1976,tonnes,140529,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,449,Mushrooms and truffles,1977,1977,tonnes,157454,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,449,Mushrooms and truffles,1978,1978,tonnes,180848,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,449,Mushrooms and truffles,1979,1979,tonnes,205930,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,449,Mushrooms and truffles,1980,1980,tonnes,213200,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,449,Mushrooms and truffles,1981,1981,tonnes,212990,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,449,Mushrooms and truffles,1982,1982,tonnes,234570,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,449,Mushrooms and truffles,1983,1983,tonnes,222630,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,449,Mushrooms and truffles,1984,1984,tonnes,254700,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,449,Mushrooms and truffles,1985,1985,tonnes,270200,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,449,Mushrooms and truffles,1986,1986,tonnes,266700,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,449,Mushrooms and truffles,1987,1987,tonnes,278700,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,449,Mushrooms and truffles,1988,1988,tonnes,286600,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,449,Mushrooms and truffles,1989,1989,tonnes,302900,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,449,Mushrooms and truffles,1990,1990,tonnes,324315,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,449,Mushrooms and truffles,1991,1991,tonnes,338760,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,449,Mushrooms and truffles,1992,1992,tonnes,352150,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,449,Mushrooms and truffles,1993,1993,tonnes,340560,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,449,Mushrooms and truffles,1994,1994,tonnes,354250,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,449,Mushrooms and truffles,1995,1995,tonnes,352836,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,449,Mushrooms and truffles,1996,1996,tonnes,352300,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,449,Mushrooms and truffles,1997,1997,tonnes,366810,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,449,Mushrooms and truffles,1998,1998,tonnes,384540,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,449,Mushrooms and truffles,1999,1999,tonnes,387550,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,449,Mushrooms and truffles,2000,2000,tonnes,383830,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,449,Mushrooms and truffles,2001,2001,tonnes,376980,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,449,Mushrooms and truffles,2002,2002,tonnes,377080,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,449,Mushrooms and truffles,2003,2003,tonnes,387601,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,449,Mushrooms and truffles,2004,2004,tonnes,387601,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,449,Mushrooms and truffles,2005,2005,tonnes,386984,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,449,Mushrooms and truffles,2006,2006,tonnes,382541,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,449,Mushrooms and truffles,2007,2007,tonnes,359630,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,449,Mushrooms and truffles,2008,2008,tonnes,368591,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,449,Mushrooms and truffles,2009,2009,tonnes,371844,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,449,Mushrooms and truffles,2010,2010,tonnes,359469,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,449,Mushrooms and truffles,2011,2011,tonnes,390902,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,449,Mushrooms and truffles,2012,2012,tonnes,402904,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,449,Mushrooms and truffles,2013,2013,tonnes,408157,,Official data
